,Compartment,Chamber,Experiment_Round,Box_Nr,Type_Barrier,Start_Date,Germinants_Added_Date,Fungus_Added,Fungal_Strain_Used,Fungal_Generation_Used,Date_Fungus_Crossed,Dye_Added_Date,Harvest_Date,Notes,Dry_Weight_g,Sample_Name,Total_Weight_mg,Tube Type,Note,Date,Comments,Duplicate,Compartment_abbr
87,Shoot,Donor,5,6,Impermeable,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0547,5.6A.S,1.447,1,NA,4/18/2024,NA,NA,S
88,Root,Donor,5,6,Impermeable,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0662,5.6A.R,1.097,2,NA,4/18/2024,NA,NA,R
89,Shoot,Receiver,5,6,Impermeable,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0133,5.6B.S,1.225,1,NA,4/15/2024,NA,NA,S
90,Root,Receiver,5,6,Impermeable,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0142,5.6B.R,1.201,2,NA,4/15/2024,NA,NA,R
91,Shoot,Donor,5,9,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0639,5.9A.S,1.182,1,NA,4/18/2024,NA,NA,S
92,Root,Donor,5,9,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.1032,5.9A.R,1.041,2,NA,4/18/2024,NA,NA,R
93,Shoot,Receiver,5,9,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0345,5.9B.S,1.101,1,NA,4/15/2024,NA,NA,S
94,Root,Receiver,5,9,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0399,5.9B.R,1.217,2,NA,4/15/2024,NA,NA,R
95,Shoot,Donor,5,10,Diffusion1,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0924,5.10A.S,1.56,1,NA,4/18/2024,NA,NA,S
96,Root,Donor,5,10,Diffusion1,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.07,5.10A.R,1.108,2,NA,4/18/2024,NA,NA,R
97,Shoot,Receiver,5,10,Diffusion1,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.029,5.10B.S,0.925,1,NA,4/15/2024,NA,NA,S
98,Root,Receiver,5,10,Diffusion1,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0182,5.10B.R,1.79,2,NA,4/15/2024,NA,NA,R
99,Shoot,Donor,5,11,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0313,5.11A.S,1.006,1,NA,4/18/2024,NA,NA,S
100,Root,Donor,5,11,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0467,5.11A.R,1.292,2,NA,4/18/2024,NA,NA,R
101,Shoot,Receiver,5,11,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0172,5.11B.S,0.99,1,NA,4/15/2024,NA,NA,S
102,Root,Receiver,5,11,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0358,5.11B.R,1.06,2,NA,4/15/2024,NA,NA,R
103,Shoot,Donor,5,13,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0373,5.13A.S,1.005,1,NA,4/18/2024,NA,NA,S
104,Root,Donor,5,13,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0766,5.13A.R,1.108,2,NA,4/18/2024,NA,NA,R
105,Shoot,Receiver,5,13,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0247,5.13B.S,1.231,1,NA,4/15/2024,NA,NA,S
106,Root,Receiver,5,13,Diffusion2,10/17/2023,10/19/2023,45223,494B,3B,NA,45244,11/17/2023,NA,0.0326,5.13B.R,1.031,2,NA,4/15/2024,NA,NA,R
107,Shoot,Donor,5,16,Sterile,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0178,5.16A.S,1.171,1,NA,4/18/2024,NA,NA,S
108,Root,Donor,5,16,Sterile,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0096,5.16A.R,1.066,2,NA,4/18/2024,NA,NA,R
109,Shoot,Receiver,5,16,Sterile,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0168,5.16B.S,1.013,1,NA,4/15/2024,NA,NA,S
110,Root,Receiver,5,16,Sterile,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0142,5.16B.R,1.193,2,NA,4/18/2024,NA,NA,R
111,Shoot,Donor,5,17,Oyster,10/17/2023,10/19/2023,45223,P.o.bb,3,NA,45244,11/17/2023,NA,0.0226,5.17A.S,1.712,1,NA,4/18/2024,NA,NA,S
112,Root,Donor,5,17,Oyster,10/17/2023,10/19/2023,45223,P.o.bb,3,NA,45244,11/17/2023,NA,0.0164,5.17A.R,1.157,2,NA,4/18/2024,NA,NA,R
113,Shoot,Receiver,5,17,Oyster,10/17/2023,10/19/2023,45223,P.o.bb,3,NA,45244,11/17/2023,NA,0.0223,5.17B.S,1.153,1,NA,4/15/2024,NA,NA,S
114,Root,Receiver,5,17,Oyster,10/17/2023,10/19/2023,45223,P.o.bb,3,NA,45244,11/17/2023,NA,0.0106,5.17B.R,1.16,2,NA,4/15/2024,NA,NA,R
115,Shoot,Donor,5,20,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0281,5.20A.S,1.238,1,NA,4/18/2024,NA,NA,S
116,Root,Donor,5,20,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0217,5.20A.R,0.932,1,NA,4/18/2024,NA,NA,R
117,Root,Donor,5,20,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0217,5.20A.R,1.007,2,NA,4/18/2024,NA,2,R
118,Shoot,Receiver,5,20,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0133,5.20B.S,0.998,1,NA,4/15/2024,NA,NA,S
119,Root,Receiver,5,20,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0168,5.20B.R,1.322,2,NA,4/15/2024,NA,NA,R
120,Shoot,Donor,5,21,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0561,5.21A.S,1.297,1,NA,4/18/2024,NA,NA,S
121,Root,Donor,5,21,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0135,5.21A.R,1.023,2,NA,4/18/2024,NA,NA,R
122,Shoot,Receiver,5,21,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0166,5.21B.S,1.251,1,NA,4/15/2024,NA,NA,S
123,Root,Receiver,5,21,Diffusion3,10/17/2023,10/19/2023,45223,NA,NA,NA,45244,11/17/2023,NA,0.0181,5.21B.R,1.169,2,NA,4/15/2024,NA,NA,R
