11
5/29/2024 6:21 PM
Wavelength (nm)	10mm Absorbance
762.0	2.254
762.5	2.245
763.0	2.235
763.5	2.230
764.0	2.226
764.5	2.234
765.0	2.236
765.5	2.233
766.0	2.234
766.5	2.243
767.0	2.259
767.5	2.272
768.0	2.277
768.5	2.287
769.0	2.297
769.5	2.309
770.0	2.305
770.5	2.299
771.0	2.287
771.5	2.283
772.0	2.288
772.5	2.293
773.0	2.300
773.5	2.312
774.0	2.321
774.5	2.336
775.0	2.336
775.5	2.332
776.0	2.316
776.5	2.301
777.0	2.284
777.5	2.266
778.0	2.259
778.5	2.257
779.0	2.257
779.5	2.264
780.0	2.267
780.5	2.275
781.0	2.272
781.5	2.270
782.0	2.265
782.5	2.261
783.0	2.260
783.5	2.260
784.0	2.262
784.5	2.263
785.0	2.264
785.5	2.272
786.0	2.270
786.5	2.272
787.0	2.265
787.5	2.256
788.0	2.245
788.5	2.238
789.0	2.235
789.5	2.236
790.0	2.247
790.5	2.259
791.0	2.279
791.5	2.298
792.0	2.299
792.5	2.293
793.0	2.288
793.5	2.276
794.0	2.248
794.5	2.226
795.0	2.208
795.5	2.204
796.0	2.219
796.5	2.228
797.0	2.231
797.5	2.241
798.0	2.259
798.5	2.268
799.0	2.259
799.5	2.257
800.0	2.250
800.5	2.254
801.0	2.254
801.5	2.250
802.0	2.236
802.5	2.224
803.0	2.217
803.5	2.210
804.0	2.205
804.5	2.206
805.0	2.213
805.5	2.227
806.0	2.239
806.5	2.255
807.0	2.258
807.5	2.252
808.0	2.240
808.5	2.218
809.0	2.200
809.5	2.177
810.0	2.167
810.5	2.161
811.0	2.161
811.5	2.175
812.0	2.195
812.5	2.211
813.0	2.217
813.5	2.211
814.0	2.206
814.5	2.185
815.0	2.175
815.5	2.166
816.0	2.161
816.5	2.173
817.0	2.196
817.5	2.220
818.0	2.240
818.5	2.255
819.0	2.253
819.5	2.245
820.0	2.244
820.5	2.242
821.0	2.235
821.5	2.224
822.0	2.210
822.5	2.201
823.0	2.189
823.5	2.175
824.0	2.161
824.5	2.160
825.0	2.165
825.5	2.173
826.0	2.162
826.5	2.144
827.0	2.138
827.5	2.133
828.0	2.121
828.5	2.137
829.0	2.164
829.5	2.194
830.0	2.213
830.5	2.217
831.0	2.215
831.5	2.216
832.0	2.203
832.5	2.169
833.0	2.142
833.5	2.130
834.0	2.122
834.5	2.130
835.0	2.142
835.5	2.151
836.0	2.186
836.5	2.229
837.0	2.245
837.5	2.248
838.0	2.243
838.5	2.224
839.0	2.208
839.5	2.195
840.0	2.191
840.5	2.194
841.0	2.217
841.5	2.243
842.0	2.248
842.5	2.272
843.0	2.280
843.5	2.257
844.0	2.232
844.5	2.218
845.0	2.201
845.5	2.196
846.0	2.193
846.5	2.187
847.0	2.195
847.5	2.215
848.0	2.198
848.5	2.170
849.0	2.154
849.5	2.146
850.0	2.137


14
5/29/2024 6:24 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.34667	
//WLCalib: 261S 	-0.23000	
//WLCalib: 362S 	-0.96000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.11000	
//WLCalib: 823S 	-0.54000	
//QSpecEnd: 
190.0	0.858
190.5	0.955
191.0	0.894
191.5	0.447
192.0	0.410
192.5	0.130
193.0	-0.061
193.5	-0.277
194.0	-0.332
194.5	-0.323
195.0	-0.279
195.5	-0.224
196.0	-0.211
196.5	-0.248
197.0	-0.203
197.5	-0.217
198.0	-0.261
198.5	-0.269
199.0	-0.278
199.5	-0.338
200.0	-0.393
200.5	-0.329
201.0	-0.319
201.5	-0.366
202.0	-0.321
202.5	-0.221
203.0	-0.248
203.5	-0.142
204.0	-0.025
204.5	0.302
205.0	0.271
205.5	0.340
206.0	0.582
206.5	0.786
207.0	1.371
207.5	1.937
208.0	2.553
208.5	3.064
209.0	3.586
209.5	3.901
210.0	3.566
210.5	3.476
211.0	3.320
211.5	3.262
212.0	3.494
212.5	3.560
213.0	3.623
213.5	3.585
214.0	3.821
214.5	3.738
215.0	3.691
215.5	3.808
216.0	3.990
216.5	4.450
217.0	4.837
217.5	4.900
218.0	5.226
218.5	5.350
219.0	5.531
219.5	5.626
220.0	5.962
220.5	6.269
221.0	6.694
221.5	7.209
222.0	7.514
222.5	7.816
223.0	8.144
223.5	8.375
224.0	8.673
224.5	9.046
225.0	9.501
225.5	10.059
226.0	10.833
226.5	11.955
227.0	13.211
227.5	14.531
228.0	15.744
228.5	16.787
229.0	17.568
229.5	17.983
230.0	18.082
230.5	17.901
231.0	17.635
231.5	17.383
232.0	17.209
232.5	17.112
233.0	17.080
233.5	17.185
234.0	17.449
234.5	17.813
235.0	18.176
235.5	18.470
236.0	18.758
236.5	19.030
237.0	19.312
237.5	19.643
238.0	19.789
238.5	20.029
239.0	20.393
239.5	20.898
240.0	21.589
240.5	22.496
241.0	23.555
241.5	24.653
242.0	25.547
242.5	26.200
243.0	26.220
243.5	26.223
244.0	25.682
244.5	25.129
245.0	24.754
245.5	24.576
246.0	24.735
246.5	25.195
247.0	25.569
247.5	25.990
248.0	26.111
248.5	26.252
249.0	25.792
249.5	25.108
250.0	24.633
250.5	23.870
251.0	23.545
251.5	23.427
252.0	23.280
252.5	23.124
253.0	22.891
253.5	22.726
254.0	22.352
254.5	22.007
255.0	21.887
255.5	21.646
256.0	21.815
256.5	22.269
257.0	22.680
257.5	23.024
258.0	23.444
258.5	23.857
259.0	24.184
259.5	24.276
260.0	24.399
260.5	24.398
261.0	24.278
261.5	24.329
262.0	24.092
262.5	24.104
263.0	23.812
263.5	23.619
264.0	23.273
264.5	22.896
265.0	22.683
265.5	22.679
266.0	22.555
266.5	22.781
267.0	23.038
267.5	23.355
268.0	23.089
268.5	23.015
269.0	22.724
269.5	22.216
270.0	22.047
270.5	22.448
271.0	22.636
271.5	22.814
272.0	23.070
272.5	23.427
273.0	23.375
273.5	23.127
274.0	22.697
274.5	22.159
275.0	22.092
275.5	21.978
276.0	21.621
276.5	21.260
277.0	21.176
277.5	21.590
278.0	21.508
278.5	21.345
279.0	21.256
279.5	21.187
280.0	21.128
280.5	20.752
281.0	20.398
281.5	20.030
282.0	19.708
282.5	19.550
283.0	19.102
283.5	18.831
284.0	18.583
284.5	18.459
285.0	18.255
285.5	18.037
286.0	17.923
286.5	17.842
287.0	17.623
287.5	17.465
288.0	17.281
288.5	17.127
289.0	16.957
289.5	16.733
290.0	16.495
290.5	16.310
291.0	16.184
291.5	15.972
292.0	15.735
292.5	15.585
293.0	15.410
293.5	15.236
294.0	15.115
294.5	14.958
295.0	14.802
295.5	14.673
296.0	14.569
296.5	14.425
297.0	14.299
297.5	14.180
298.0	14.054
298.5	13.931
299.0	13.835
299.5	13.708
300.0	13.603
300.5	13.501
301.0	13.373
301.5	13.275
302.0	13.205
302.5	13.123
303.0	13.014
303.5	12.933
304.0	12.845
304.5	12.739
305.0	12.626
305.5	12.504
306.0	12.374
306.5	12.246
307.0	12.168
307.5	12.075
308.0	12.011
308.5	11.960
309.0	11.909
309.5	11.848
310.0	11.800
310.5	11.732
311.0	11.664
311.5	11.585
312.0	11.540
312.5	11.489
313.0	11.443
313.5	11.388
314.0	11.317
314.5	11.258
315.0	11.225
315.5	11.162
316.0	11.121
316.5	11.055
317.0	10.990
317.5	10.929
318.0	10.891
318.5	10.852
319.0	10.809
319.5	10.761
320.0	10.724
320.5	10.671
321.0	10.619
321.5	10.561
322.0	10.500
322.5	10.434
323.0	10.385
323.5	10.353
324.0	10.328
324.5	10.275
325.0	10.215
325.5	10.168
326.0	10.108
326.5	10.065
327.0	10.008
327.5	9.916
328.0	9.842
328.5	9.781
329.0	9.736
329.5	9.677
330.0	9.614
330.5	9.538
331.0	9.461
331.5	9.391
332.0	9.314
332.5	9.231
333.0	9.142
333.5	9.059
334.0	9.001
334.5	8.925
335.0	8.838
335.5	8.744
336.0	8.673
336.5	8.603
337.0	8.530
337.5	8.455
338.0	8.372
338.5	8.285
339.0	8.199
339.5	8.102
340.0	7.990
340.5	7.902
341.0	7.822
341.5	7.741
342.0	7.648
342.5	7.559
343.0	7.469
343.5	7.380
344.0	7.293
344.5	7.202
345.0	7.111
345.5	7.035
346.0	6.951
346.5	6.860
347.0	6.772
347.5	6.702
348.0	6.618
348.5	6.544
349.0	6.447
349.5	6.352
350.0	6.264
350.5	6.171
351.0	6.073
351.5	5.984
352.0	5.909
352.5	5.848
353.0	5.771
353.5	5.699
354.0	5.619
354.5	5.538
355.0	5.453
355.5	5.378
356.0	5.295
356.5	5.219
357.0	5.149
357.5	5.085
358.0	5.015
358.5	4.952
359.0	4.887
359.5	4.821
360.0	4.759
360.5	4.703
361.0	4.637
361.5	4.574
362.0	4.520
362.5	4.474
363.0	4.425
363.5	4.382
364.0	4.335
364.5	4.292
365.0	4.248
365.5	4.198
366.0	4.148
366.5	4.099
367.0	4.055
367.5	4.021
368.0	3.983
368.5	3.944
369.0	3.904
369.5	3.869
370.0	3.838
370.5	3.800
371.0	3.772
371.5	3.744
372.0	3.710
372.5	3.683
373.0	3.644
373.5	3.606
374.0	3.572
374.5	3.539
375.0	3.510
375.5	3.480
376.0	3.458
376.5	3.432
377.0	3.403
377.5	3.381
378.0	3.357
378.5	3.341
379.0	3.321
379.5	3.307
380.0	3.289
380.5	3.270
381.0	3.251
381.5	3.230
382.0	3.203
382.5	3.177
383.0	3.154
383.5	3.130
384.0	3.104
384.5	3.087
385.0	3.070
385.5	3.059
386.0	3.037
386.5	3.021
387.0	2.999
387.5	2.979
388.0	2.966
388.5	2.957
389.0	2.945
389.5	2.942
390.0	2.933
390.5	2.919
391.0	2.894
391.5	2.877
392.0	2.856
392.5	2.832
393.0	2.819
393.5	2.810
394.0	2.796
394.5	2.784
395.0	2.771
395.5	2.758
396.0	2.750
396.5	2.742
397.0	2.729
397.5	2.716
398.0	2.705
398.5	2.696
399.0	2.686
399.5	2.670
400.0	2.658
400.5	2.647
401.0	2.641
401.5	2.631
402.0	2.622
402.5	2.611
403.0	2.599
403.5	2.586
404.0	2.575
404.5	2.560
405.0	2.545
405.5	2.532
406.0	2.524
406.5	2.513
407.0	2.510
407.5	2.498
408.0	2.492
408.5	2.482
409.0	2.470
409.5	2.461
410.0	2.448
410.5	2.440
411.0	2.432
411.5	2.423
412.0	2.419
412.5	2.409
413.0	2.402
413.5	2.387
414.0	2.371
414.5	2.359
415.0	2.353
415.5	2.347
416.0	2.338
416.5	2.327
417.0	2.316
417.5	2.300
418.0	2.286
418.5	2.270
419.0	2.258
419.5	2.248
420.0	2.242
420.5	2.232
421.0	2.226
421.5	2.218
422.0	2.210
422.5	2.206
423.0	2.200
423.5	2.191
424.0	2.183
424.5	2.173
425.0	2.163
425.5	2.153
426.0	2.151
426.5	2.150
427.0	2.148
427.5	2.149
428.0	2.146
428.5	2.139
429.0	2.132
429.5	2.124
430.0	2.118
430.5	2.109
431.0	2.102
431.5	2.094
432.0	2.083
432.5	2.075
433.0	2.068
433.5	2.056
434.0	2.046
434.5	2.040
435.0	2.039
435.5	2.038
436.0	2.032
436.5	2.032
437.0	2.030
437.5	2.025
438.0	2.021
438.5	2.011
439.0	1.999
439.5	1.987
440.0	1.979
440.5	1.969
441.0	1.962
441.5	1.960
442.0	1.960
442.5	1.957
443.0	1.957
443.5	1.954
444.0	1.949
444.5	1.941
445.0	1.933
445.5	1.924
446.0	1.917
446.5	1.910
447.0	1.902
447.5	1.894
448.0	1.887
448.5	1.882
449.0	1.882
449.5	1.878
450.0	1.879
450.5	1.877
451.0	1.873
451.5	1.869
452.0	1.869
452.5	1.866
453.0	1.863
453.5	1.862
454.0	1.862
454.5	1.856
455.0	1.855
455.5	1.856
456.0	1.849
456.5	1.840
457.0	1.838
457.5	1.834
458.0	1.829
458.5	1.824
459.0	1.817
459.5	1.808
460.0	1.802
460.5	1.799
461.0	1.791
461.5	1.782
462.0	1.781
462.5	1.784
463.0	1.786
463.5	1.788
464.0	1.787
464.5	1.785
465.0	1.777
465.5	1.774
466.0	1.769
466.5	1.763
467.0	1.757
467.5	1.753
468.0	1.751
468.5	1.750
469.0	1.751
469.5	1.752
470.0	1.748
470.5	1.747
471.0	1.743
471.5	1.742
472.0	1.739
472.5	1.735
473.0	1.735
473.5	1.737
474.0	1.740
474.5	1.741
475.0	1.740
475.5	1.734
476.0	1.730
476.5	1.730
477.0	1.731
477.5	1.729
478.0	1.725
478.5	1.724
479.0	1.717
479.5	1.711
480.0	1.704
480.5	1.697
481.0	1.690
481.5	1.687
482.0	1.681
482.5	1.672
483.0	1.664
483.5	1.659
484.0	1.655
484.5	1.652
485.0	1.651
485.5	1.653
486.0	1.651
486.5	1.649
487.0	1.644
487.5	1.644
488.0	1.648
488.5	1.652
489.0	1.657
489.5	1.660
490.0	1.662
490.5	1.660
491.0	1.652
491.5	1.647
492.0	1.642
492.5	1.641
493.0	1.640
493.5	1.636
494.0	1.640
494.5	1.647
495.0	1.650
495.5	1.651
496.0	1.650
496.5	1.652
497.0	1.654
497.5	1.654
498.0	1.646
498.5	1.642
499.0	1.643
499.5	1.646
500.0	1.640
500.5	1.634
501.0	1.631
501.5	1.630
502.0	1.632
502.5	1.633
503.0	1.632
503.5	1.634
504.0	1.638
504.5	1.642
505.0	1.642
505.5	1.635
506.0	1.630
506.5	1.625
507.0	1.622
507.5	1.619
508.0	1.617
508.5	1.614
509.0	1.614
509.5	1.614
510.0	1.618
510.5	1.616
511.0	1.615
511.5	1.613
512.0	1.613
512.5	1.613
513.0	1.611
513.5	1.607
514.0	1.603
514.5	1.602
515.0	1.598
515.5	1.598
516.0	1.596
516.5	1.594
517.0	1.594
517.5	1.587
518.0	1.579
518.5	1.578
519.0	1.579
519.5	1.589
520.0	1.592
520.5	1.599
521.0	1.604
521.5	1.611
522.0	1.609
522.5	1.600
523.0	1.593
523.5	1.588
524.0	1.583
524.5	1.586
525.0	1.587
525.5	1.589
526.0	1.592
526.5	1.592
527.0	1.590
527.5	1.588
528.0	1.584
528.5	1.577
529.0	1.573
529.5	1.569
530.0	1.566
530.5	1.564
531.0	1.561
531.5	1.556
532.0	1.553
532.5	1.550
533.0	1.551
533.5	1.554
534.0	1.560
534.5	1.567
535.0	1.569
535.5	1.573
536.0	1.570
536.5	1.572
537.0	1.568
537.5	1.563
538.0	1.564
538.5	1.561
539.0	1.558
539.5	1.558
540.0	1.546
540.5	1.537
541.0	1.527
541.5	1.523
542.0	1.515
542.5	1.515
543.0	1.522
543.5	1.525
544.0	1.531
544.5	1.539
545.0	1.547
545.5	1.551
546.0	1.552
546.5	1.550
547.0	1.548
547.5	1.550
548.0	1.559
548.5	1.562
549.0	1.558
549.5	1.555
550.0	1.553
550.5	1.545
551.0	1.533
551.5	1.523
552.0	1.520
552.5	1.519
553.0	1.529
553.5	1.529
554.0	1.524
554.5	1.521
555.0	1.517
555.5	1.514
556.0	1.510
556.5	1.505
557.0	1.511
557.5	1.517
558.0	1.520
558.5	1.523
559.0	1.524
559.5	1.517
560.0	1.512
560.5	1.504
561.0	1.494
561.5	1.487
562.0	1.486
562.5	1.485
563.0	1.479
563.5	1.484
564.0	1.483
564.5	1.479
565.0	1.486
565.5	1.487
566.0	1.488
566.5	1.498
567.0	1.500
567.5	1.500
568.0	1.495
568.5	1.493
569.0	1.483
569.5	1.480
570.0	1.482
570.5	1.483
571.0	1.485
571.5	1.486
572.0	1.483
572.5	1.475
573.0	1.468
573.5	1.459
574.0	1.450
574.5	1.445
575.0	1.445
575.5	1.451
576.0	1.452
576.5	1.452
577.0	1.454
577.5	1.448
578.0	1.447
578.5	1.446
579.0	1.436
579.5	1.431
580.0	1.432
580.5	1.441
581.0	1.441
581.5	1.442
582.0	1.442
582.5	1.440
583.0	1.441
583.5	1.438
584.0	1.432
584.5	1.430
585.0	1.433
585.5	1.435
586.0	1.426
586.5	1.419
587.0	1.418
587.5	1.412
588.0	1.413
588.5	1.411
589.0	1.411
589.5	1.414
590.0	1.413
590.5	1.411
591.0	1.410
591.5	1.415
592.0	1.418
592.5	1.417
593.0	1.425
593.5	1.423
594.0	1.417
594.5	1.409
595.0	1.401
595.5	1.396
596.0	1.393
596.5	1.395
597.0	1.395
597.5	1.396
598.0	1.400
598.5	1.400
599.0	1.398
599.5	1.389
600.0	1.387
600.5	1.387
601.0	1.385
601.5	1.386
602.0	1.382
602.5	1.380
603.0	1.377
603.5	1.374
604.0	1.370
604.5	1.364
605.0	1.367
605.5	1.369
606.0	1.374
606.5	1.375
607.0	1.374
607.5	1.373
608.0	1.369
608.5	1.373
609.0	1.371
609.5	1.373
610.0	1.373
610.5	1.369
611.0	1.366
611.5	1.361
612.0	1.355
612.5	1.355
613.0	1.353
613.5	1.360
614.0	1.360
614.5	1.360
615.0	1.362
615.5	1.360
616.0	1.353
616.5	1.351
617.0	1.354
617.5	1.352
618.0	1.344
618.5	1.340
619.0	1.332
619.5	1.323
620.0	1.324
620.5	1.317
621.0	1.311
621.5	1.310
622.0	1.316
622.5	1.312
623.0	1.311
623.5	1.314
624.0	1.321
624.5	1.327
625.0	1.339
625.5	1.345
626.0	1.343
626.5	1.336
627.0	1.326
627.5	1.314
628.0	1.302
628.5	1.298
629.0	1.298
629.5	1.297
630.0	1.306
630.5	1.321
631.0	1.326
631.5	1.324
632.0	1.321
632.5	1.321
633.0	1.314
633.5	1.314
634.0	1.316
634.5	1.322
635.0	1.329
635.5	1.339
636.0	1.347
636.5	1.347
637.0	1.341
637.5	1.329
638.0	1.307
638.5	1.292
639.0	1.280
639.5	1.270
640.0	1.266
640.5	1.276
641.0	1.295
641.5	1.306
642.0	1.308
642.5	1.310
643.0	1.307
643.5	1.306
644.0	1.301
644.5	1.301
645.0	1.303
645.5	1.304
646.0	1.300
646.5	1.291
647.0	1.281
647.5	1.277
648.0	1.272
648.5	1.270
649.0	1.266
649.5	1.268
650.0	1.268
650.5	1.255
651.0	1.244
651.5	1.237
652.0	1.241
652.5	1.244
653.0	1.250
653.5	1.257
654.0	1.264
654.5	1.274
655.0	1.283
655.5	1.285
656.0	1.282
656.5	1.276
657.0	1.274
657.5	1.269
658.0	1.262
658.5	1.254
659.0	1.245
659.5	1.241
660.0	1.244
660.5	1.238
661.0	1.238
661.5	1.235
662.0	1.233
662.5	1.232
663.0	1.230
663.5	1.228
664.0	1.230
664.5	1.229
665.0	1.231
665.5	1.233
666.0	1.237
666.5	1.242
667.0	1.236
667.5	1.233
668.0	1.223
668.5	1.217
669.0	1.214
669.5	1.211
670.0	1.213
670.5	1.216
671.0	1.219
671.5	1.227
672.0	1.224
672.5	1.219
673.0	1.208
673.5	1.196
674.0	1.189
674.5	1.187
675.0	1.192
675.5	1.197
676.0	1.206
676.5	1.215
677.0	1.212
677.5	1.206
678.0	1.198
678.5	1.194
679.0	1.194
679.5	1.201
680.0	1.208
680.5	1.210
681.0	1.209
681.5	1.204
682.0	1.195
682.5	1.184
683.0	1.185
683.5	1.188
684.0	1.192
684.5	1.194
685.0	1.194
685.5	1.188
686.0	1.186
686.5	1.183
687.0	1.182
687.5	1.177
688.0	1.179
688.5	1.178
689.0	1.176
689.5	1.177
690.0	1.176
690.5	1.170
691.0	1.175
691.5	1.183
692.0	1.190
692.5	1.191
693.0	1.189
693.5	1.187
694.0	1.194
694.5	1.200
695.0	1.202
695.5	1.203
696.0	1.209
696.5	1.214
697.0	1.206
697.5	1.198
698.0	1.190
698.5	1.182
699.0	1.181
699.5	1.175
700.0	1.164
700.5	1.157
701.0	1.148
701.5	1.144
702.0	1.142
702.5	1.140
703.0	1.150
703.5	1.163
704.0	1.182
704.5	1.198
705.0	1.201
705.5	1.201
706.0	1.198
706.5	1.192
707.0	1.183
707.5	1.162
708.0	1.159
708.5	1.153
709.0	1.150
709.5	1.146
710.0	1.144
710.5	1.145
711.0	1.149
711.5	1.150
712.0	1.151
712.5	1.137
713.0	1.132
713.5	1.119
714.0	1.114
714.5	1.109
715.0	1.112
715.5	1.115
716.0	1.128
716.5	1.144
717.0	1.150
717.5	1.150
718.0	1.156
718.5	1.160
719.0	1.160
719.5	1.155
720.0	1.146
720.5	1.135
721.0	1.139
721.5	1.145
722.0	1.151
722.5	1.171
723.0	1.186
723.5	1.200
724.0	1.204
724.5	1.205
725.0	1.192
725.5	1.183
726.0	1.176
726.5	1.173
727.0	1.173
727.5	1.171
728.0	1.162
728.5	1.147
729.0	1.131
729.5	1.114
730.0	1.098
730.5	1.092
731.0	1.093
731.5	1.102
732.0	1.112
732.5	1.123
733.0	1.127
733.5	1.127
734.0	1.127
734.5	1.126
735.0	1.124
735.5	1.125
736.0	1.137
736.5	1.145
737.0	1.155
737.5	1.161
738.0	1.154
738.5	1.154
739.0	1.147
739.5	1.141
740.0	1.135
740.5	1.134
741.0	1.132
741.5	1.133
742.0	1.136
742.5	1.137
743.0	1.132
743.5	1.134
744.0	1.139
744.5	1.141
745.0	1.135
745.5	1.134
746.0	1.117
746.5	1.103
747.0	1.086
747.5	1.075
748.0	1.067
748.5	1.081
749.0	1.099
749.5	1.107
750.0	1.118
750.5	1.136
751.0	1.141
751.5	1.135
752.0	1.123
752.5	1.124
753.0	1.113
753.5	1.114
754.0	1.108
754.5	1.106
755.0	1.102
755.5	1.105
756.0	1.106
756.5	1.092
757.0	1.078
757.5	1.074
758.0	1.060
758.5	1.060
759.0	1.054
759.5	1.062
760.0	1.066
760.5	1.080
761.0	1.085
761.5	1.075
762.0	1.072
762.5	1.073
763.0	1.067
763.5	1.061
764.0	1.050
764.5	1.056
765.0	1.054
765.5	1.058
766.0	1.062
766.5	1.058
767.0	1.081
767.5	1.095
768.0	1.102
768.5	1.115
769.0	1.124
769.5	1.131
770.0	1.124
770.5	1.121
771.0	1.110
771.5	1.099
772.0	1.104
772.5	1.099
773.0	1.103
773.5	1.113
774.0	1.122
774.5	1.122
775.0	1.117
775.5	1.108
776.0	1.091
776.5	1.079
777.0	1.066
777.5	1.052
778.0	1.052
778.5	1.067
779.0	1.077
779.5	1.083
780.0	1.081
780.5	1.082
781.0	1.080
781.5	1.075
782.0	1.064
782.5	1.060
783.0	1.067
783.5	1.079
784.0	1.083
784.5	1.086
785.0	1.088
785.5	1.104
786.0	1.116
786.5	1.114
787.0	1.112
787.5	1.106
788.0	1.099
788.5	1.083
789.0	1.066
789.5	1.056
790.0	1.058
790.5	1.073
791.0	1.083
791.5	1.086
792.0	1.087
792.5	1.086
793.0	1.087
793.5	1.070
794.0	1.051
794.5	1.033
795.0	1.029
795.5	1.034
796.0	1.043
796.5	1.045
797.0	1.049
797.5	1.063
798.0	1.067
798.5	1.074
799.0	1.077
799.5	1.077
800.0	1.085
800.5	1.087
801.0	1.081
801.5	1.078
802.0	1.071
802.5	1.058
803.0	1.037
803.5	1.030
804.0	1.021
804.5	1.013
805.0	1.014
805.5	1.012
806.0	1.016
806.5	1.029
807.0	1.036
807.5	1.030
808.0	1.019
808.5	1.008
809.0	1.003
809.5	1.003
810.0	1.008
810.5	1.008
811.0	1.015
811.5	1.031
812.0	1.050
812.5	1.058
813.0	1.059
813.5	1.052
814.0	1.051
814.5	1.031
815.0	1.005
815.5	0.983
816.0	0.981
816.5	0.996
817.0	1.009
817.5	1.027
818.0	1.040
818.5	1.052
819.0	1.051
819.5	1.046
820.0	1.048
820.5	1.048
821.0	1.052
821.5	1.043
822.0	1.032
822.5	1.026
823.0	1.018
823.5	1.012
824.0	1.008
824.5	1.020
825.0	1.032
825.5	1.040
826.0	1.028
826.5	0.999
827.0	0.976
827.5	0.948
828.0	0.923
828.5	0.921
829.0	0.939
829.5	0.973
830.0	1.008
830.5	1.039
831.0	1.048
831.5	1.042
832.0	1.024
832.5	0.986
833.0	0.952
833.5	0.932
834.0	0.924
834.5	0.938
835.0	0.952
835.5	0.971
836.0	0.998
836.5	1.023
837.0	1.045
837.5	1.053
838.0	1.056
838.5	1.048
839.0	1.039
839.5	1.033
840.0	1.026
840.5	1.031
841.0	1.056
841.5	1.075
842.0	1.090
842.5	1.101
843.0	1.124
843.5	1.085
844.0	1.045
844.5	1.013
845.0	0.974
845.5	0.959
846.0	0.970
846.5	0.968
847.0	0.985
847.5	1.000
848.0	1.013
848.5	0.990
849.0	0.972
849.5	0.964
850.0	0.951


15
5/29/2024 6:25 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.34667	
//WLCalib: 261S 	-0.23000	
//WLCalib: 362S 	-0.96000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.11000	
//WLCalib: 823S 	-0.54000	
//QSpecEnd: 
190.0	2.377
190.5	2.221
191.0	2.035
191.5	1.597
192.0	1.447
192.5	1.113
193.0	1.077
193.5	0.859
194.0	0.978
194.5	1.653
195.0	1.939
195.5	1.955
196.0	2.138
196.5	2.223
197.0	2.487
197.5	2.461
198.0	2.612
198.5	2.917
199.0	3.392
199.5	3.752
200.0	3.858
200.5	4.152
201.0	4.697
201.5	5.246
202.0	5.801
202.5	6.477
203.0	7.349
203.5	8.248
204.0	9.132
204.5	9.810
205.0	10.250
205.5	10.720
206.0	11.062
206.5	11.343
207.0	11.530
207.5	11.746
208.0	11.960
208.5	12.170
209.0	12.299
209.5	12.401
210.0	12.532
210.5	12.678
211.0	12.846
211.5	13.036
212.0	13.164
212.5	13.312
213.0	13.420
213.5	13.463
214.0	13.510
214.5	13.583
215.0	13.630
215.5	13.740
216.0	13.903
216.5	14.067
217.0	14.258
217.5	14.497
218.0	14.749
218.5	15.077
219.0	15.457
219.5	15.891
220.0	16.312
220.5	16.757
221.0	17.143
221.5	17.513
222.0	17.833
222.5	18.103
223.0	18.326
223.5	18.613
224.0	18.919
224.5	19.278
225.0	19.666
225.5	20.167
226.0	20.861
226.5	21.826
227.0	23.008
227.5	24.270
228.0	25.205
228.5	26.181
229.0	26.591
229.5	26.751
230.0	26.643
230.5	26.442
231.0	26.065
231.5	25.526
232.0	24.980
232.5	24.622
233.0	24.079
233.5	23.436
234.0	23.042
234.5	22.689
235.0	22.360
235.5	22.007
236.0	21.455
236.5	20.750
237.0	20.228
237.5	19.822
238.0	19.245
238.5	18.715
239.0	18.580
239.5	18.181
240.0	17.816
240.5	17.466
241.0	17.131
241.5	16.736
242.0	16.405
242.5	16.168
243.0	15.922
243.5	15.705
244.0	15.500
244.5	15.321
245.0	15.108
245.5	14.899
246.0	14.669
246.5	14.493
247.0	14.386
247.5	14.319
248.0	14.273
248.5	14.224
249.0	14.168
249.5	14.122
250.0	14.042
250.5	13.943
251.0	13.853
251.5	13.790
252.0	13.761
252.5	13.771
253.0	13.740
253.5	13.745
254.0	13.749
254.5	13.753
255.0	13.743
255.5	13.679
256.0	13.668
256.5	13.635
257.0	13.605
257.5	13.561
258.0	13.504
258.5	13.489
259.0	13.484
259.5	13.479
260.0	13.480
260.5	13.451
261.0	13.457
261.5	13.470
262.0	13.475
262.5	13.502
263.0	13.469
263.5	13.439
264.0	13.452
264.5	13.440
265.0	13.422
265.5	13.391
266.0	13.398
266.5	13.381
267.0	13.393
267.5	13.440
268.0	13.388
268.5	13.369
269.0	13.337
269.5	13.302
270.0	13.244
270.5	13.190
271.0	13.161
271.5	13.109
272.0	13.114
272.5	13.104
273.0	13.049
273.5	12.980
274.0	12.881
274.5	12.844
275.0	12.786
275.5	12.709
276.0	12.671
276.5	12.623
277.0	12.580
277.5	12.539
278.0	12.519
278.5	12.439
279.0	12.362
279.5	12.309
280.0	12.206
280.5	12.064
281.0	11.937
281.5	11.783
282.0	11.640
282.5	11.511
283.0	11.428
283.5	11.320
284.0	11.237
284.5	11.144
285.0	11.049
285.5	10.952
286.0	10.867
286.5	10.758
287.0	10.662
287.5	10.578
288.0	10.514
288.5	10.437
289.0	10.343
289.5	10.239
290.0	10.135
290.5	10.057
291.0	9.985
291.5	9.877
